"id_isolato";"id_combustibile";"id_profilo";"mese";"anno";"versione";"consumo"
947;305;4;10;2007;c;423.290107991356
947;305;4;11;2007;c;466.297216906638
947;305;4;12;2007;c;519.754177239958
950;305;1;1;2007;c;213130.130262235
950;305;1;2;2007;c;200058.297873831
950;305;1;3;2007;c;189668.279598128
950;305;1;5;2007;c;80960.264649991
950;305;1;6;2007;c;0
950;305;1;7;2007;c;0
950;305;1;9;2007;c;0
950;305;1;10;2007;c;23880.33910405
950;305;1;11;2007;c;72134.8740224518
950;305;1;12;2007;c;98309.8456814058
950;305;4;1;2007;c;10742.6075728814
950;305;4;3;2007;c;20014.6951433101
950;305;4;4;2007;c;8892.23751702732
950;305;4;5;2007;c;8262.05952074248
950;305;4;6;2007;c;7547.19313373176
950;305;4;7;2007;c;6920.43978368319
950;305;4;8;2007;c;6833.57249682541
950;305;4;9;2007;c;7537.85253022087
950;305;4;10;2007;c;8513.00942435456
950;305;4;11;2007;c;9377.94795374138
950;305;4;12;2007;c;10453.0489271008
952;305;1;1;2007;c;165720.301423603
952;305;1;2;2007;c;155556.238740866
952;305;1;3;2007;c;147477.432809824
952;305;1;5;2007;c;62951.0217284773
952;305;1;6;2007;c;0
952;305;1;7;2007;c;0
952;305;1;9;2007;c;0
952;305;1;10;2007;c;18568.2662022106
952;305;1;11;2007;c;56088.7991362173
952;305;1;12;2007;c;76441.2673101868
952;305;4;1;2007;c;23233.843800256
952;305;4;3;2007;c;43287.2836054534
952;305;4;4;2007;c;19231.9095809598
952;305;4;5;2007;c;17868.9763235818
952;305;4;6;2007;c;16322.8811263796
952;305;4;7;2007;c;14967.3546084906
952;305;4;8;2007;c;14779.4802064413
952;305;4;9;2007;c;16302.6795020068
952;305;4;10;2007;c;18411.7245178779
952;305;4;11;2007;c;20282.3920026817
952;305;4;12;2007;c;22607.593581076
961;305;1;1;2007;c;224221.685087066
961;305;1;2;2007;c;210469.578420133
961;305;1;3;2007;c;199538.850779714
961;305;1;5;2007;c;85173.5366678581
961;305;1;6;2007;c;0
961;305;1;7;2007;c;0
961;305;1;9;2007;c;0
961;305;1;10;2007;c;25123.1014018173
961;305;1;11;2007;c;75888.8618280141
961;305;1;12;2007;c;103426.011292783
961;305;4;1;2007;c;25998.8411753999
961;305;4;3;2007;c;48438.7870146684
961;305;4;4;2007;c;21520.6475085933
961;305;4;5;2007;c;19995.5152232996
961;305;4;6;2007;c;18265.4233874551
961;305;4;7;2007;c;16748.5792978323
961;305;4;8;2007;c;16538.3464675784
961;305;4;9;2007;c;18242.8176220007
961;305;4;10;2007;c;20602.8544230916
961;305;4;11;2007;c;22696.1450231112
961;305;4;12;2007;c;25298.0625989191
965;305;1;1;2007;c;84942.3078105221
965;305;1;2;2007;c;79732.5722887674
965;305;1;3;2007;c;75591.6649030034
965;305;1;5;2007;c;32266.4454427888
965;305;1;6;2007;c;0
965;305;1;7;2007;c;0
965;305;1;9;2007;c;0
965;305;1;10;2007;c;9517.43008977689
965;305;1;11;2007;c;28749.1152262203
965;305;1;12;2007;c;39181.0635239619
965;305;4;1;2007;c;12453.8399698719
965;305;4;3;2007;c;23202.9149970802
965;305;4;4;2007;c;10308.7171582724
965;305;4;5;2007;c;9578.15561955644
965;305;4;6;2007;c;8749.41534180988
965;305;4;7;2007;c;8022.82397475761
965;305;4;8;2007;c;7922.11925462293
965;305;4;9;2007;c;8738.5868366674
965;305;4;10;2007;c;9869.08032464658
965;305;4;11;2007;c;10871.7983291609
965;305;4;12;2007;c;12118.1563835564
966;305;1;1;2007;c;149582.68376007
966;305;1;2;2007;c;140408.383683804
966;305;1;3;2007;c;133116.280891564
966;305;1;5;2007;c;56820.9368115654
966;305;1;6;2007;c;0
966;305;1;7;2007;c;0
